claim_id,canonical_claim,variant_claim,category,annotator_label,annotator_confidence,notes
3,"In February 2020, The Financial Times quoted virus expert and global co-lead coronavirus investigator Trevor Bedford: ""There is no evidence whatsoever of genetic engineering that we can find"", and ""T","In February 2020, The Financial Times quoted virus expert and global co-lead coronavirus investigator Trevor Bedford: ""There is no evidence whatsoever of genetic engineering that we can find"", and ""The evidence we have is that the mutations [in the virus] are completely consistent with natural evolution"".",Conspiracy Theories,same,1.0,"auto-labeled: combined=0.8207, LOW"
28,"Parliamentarian Ramesh Bidhuri of the Bharatiya Janata Party claimed that experts say using Namaste as a greeting prevents transmission of COVID-19, but using Arabic greetings like Adab and As-salamu",Using namaste as a greeting prevents transmission of covid-19.,Medical Misinformation,different,1.0,"auto-labeled: combined=0.6917, LOW"
54,"Claims that The Simpsons had predicted the coronavirus pandemic in 1993, accompanied by a doctored screenshot from the show (where the text ""Corona Virus"" was layered over the original text ""Apocalyp","Claims that The Simpsons had predicted the coronavirus pandemic in 1993, accompanied by a doctored screenshot from the show (where the text ""Corona Virus"" was layered over the original text ""Apocalypse Meow"", without blocking it from view), were later found out to be false, with the claim being widely spread on social media.",Miscellaneous,same,3.0,"auto-labeled: combined=0.9478, HIGH"
1,"The WHO specifically debunked several claims as false, including the claim that a person can tell if they have the virus or not simply by holding their breath; the claim that drinking large amounts o","The WHO specifically debunked several claims as false, including the claim that a person can tell if they have the virus or not simply by holding their breath; the claim that drinking large amounts of water will protect against the virus; and the claim that gargling salt water prevents infection.",Combative Efforts,different,2.0,"auto-labeled: combined=0.6061, MEDIUM"
3,"In February 2020, The Financial Times quoted virus expert and global co-lead coronavirus investigator Trevor Bedford: ""There is no evidence whatsoever of genetic engineering that we can find"", and ""T",Coronavirus is genetically engineered.,Conspiracy Theories,different,3.0,"auto-labeled: combined=0.5169, HIGH"
7,"Widely circulated posts on social media have falsely claimed that, among other things:   All of the above claims have been disproven; for example, ginger has not been proven to cure any viral illness",Boiled ginger can cure coronavirus.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.4077, HIGH"
52,"While Trump claimed that ""we're going to be able to make that drug available almost immediately"", the leader of the FDA stated that the drug would still need to be tested in a ""large, pragmatic clinic","While Trump claimed that ""we're going to be able to make that drug available almost immediately"", the leader of the FDA stated that the drug would still need to be tested in a ""large, pragmatic clinical trial"" on subjects infected with COVID-19.",Government,same,2.0,"auto-labeled: combined=0.8815, MEDIUM"
39,"On March 17, around 79 church devotees were infected with the virus at the River of Grace Community Church after followers had salt-water sprayed into their mouths under the belief that this would pr",Salt water protects from coronavirus.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.4215, HIGH"
56,"A viral post that originated on Weibo and spread on Twitter claimed that a pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea","A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",Miscellaneous,same,1.0,"auto-labeled: combined=0.7575, LOW"
51,"Their statements range from false to unproven, and in some cases, underestimate the challenges that public health officials must contend with in responding to the virus.""",COVID-19 is only as deadly as the seasonal flu.,Government,different,3.0,"auto-labeled: combined=0.2765, HIGH"
36,"There were also claims that chloroquine was used to cure over 12,000 COVID-19 patients.",Chloroquine can cure coronavirus,Medical Misinformation,different,3.0,"auto-labeled: combined=0.5768, HIGH"
54,"Claims that The Simpsons had predicted the coronavirus pandemic in 1993, accompanied by a doctored screenshot from the show (where the text ""Corona Virus"" was layered over the original text ""Apocalyp",The Simpsons predicted COVID-19 pandemic.,Miscellaneous,different,1.0,"auto-labeled: combined=0.7223, LOW"
52,"While Trump claimed that ""we're going to be able to make that drug available almost immediately"", the leader of the FDA stated that the drug would still need to be tested in a ""large, pragmatic clinic",Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,Government,different,3.0,"auto-labeled: combined=0.298, HIGH"
14,"While the effectiveness of sanitiser depends on the specific ingredients, most hand sanitiser sold commercially does destroy the coronavirus.",Hand sanitiser sold commercially does not destroy the coronavirus.,Medical Misinformation,same,3.0,"auto-labeled: combined=0.9276, HIGH"
50,"In an interview with Sean Hannity on March 4, Trump also claimed that the death rate published by the WHO was false, that the correct fatality rate was less than 1 percent, and said, ""Well, I think t",It is safe for individuals infected with COVID-19 to go to work.,Government,different,3.0,"auto-labeled: combined=0.1951, HIGH"
20,"Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, accord","Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, according to a false e-mail attributed to a hospital director) and cocaine.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9806, HIGH"
60,"Another viral Indian video clip showed a pod of humpback whales allegedly returning to the Arabian Sea offshore from Mumbai following the shutdown of shipping routes; however, this video was found to","A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",Miscellaneous,different,2.0,"auto-labeled: combined=0.6101, MEDIUM"
27,Political activist Swami Chakrapani and Member of the Legislative Assembly Suman Haripriya claimed that drinking cow urine and applying cow dung on the body can cure COVID-19.,Drinking cow urine and applying cow dung on the body can cure covid-19.,Medical Misinformation,same,1.0,"auto-labeled: combined=0.7856, LOW"
48,"Epstein of the Hoover Institution, who in a series of articles consistently played down the scale of the epidemics, ridiculed the ""panic"" being spread by ""progressives"", made a number of incorrect sta",There will be 500 deaths at the end of the pandemic.,Government,different,3.0,"auto-labeled: combined=0.2559, HIGH"
58,"The Venice mayor's office clarified that the reported water clarity in the canals was due to the lack of sediment being kicked up by boat traffic, not due to a lack of water pollution that was initia",Water polution decreased in Venice canals following COVID-19 lockdown.,Miscellaneous,different,3.0,"auto-labeled: combined=0.4644, HIGH"
50,"In an interview with Sean Hannity on March 4, Trump also claimed that the death rate published by the WHO was false, that the correct fatality rate was less than 1 percent, and said, ""Well, I think t","In an interview with Sean Hannity on March 4, Trump also claimed that the death rate published by the WHO was false, that the correct fatality rate was less than 1 percent, and said, ""Well, I think the 3.4 percent is really a false number"", that the potential impact of the outbreak was exaggerated by Democrats plotting against him, and that it was safe for infected individuals to go to work.",Government,different,1.0,"auto-labeled: combined=0.7194, LOW"
30,"Amitabh Bachchan was heavily criticised for one of his tweets, which claimed vibrations from clapping, blowing conch shells as part of Sunday's Janata Curfew would have reduced or destroyed coronaviru",Blowing conch shells destroys coronavirus potency.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.2801, HIGH"
61,A social media joke suggesting that lions had been freed to keep people off the streets in Moscow was passed around as if it were true.,Lions were freed to keep people off the streets in Moscow.,Miscellaneous,different,1.0,"auto-labeled: combined=0.7161, LOW"
31,Misinformation has spread that the lifetime of SARS-CoV-2 is only 12 hours and staying home for 14 hours during Janata curfew would break the chain of transmission.,The lifetime of SARS-CoV-2 is only 12 hours.,Medical Misinformation,same,1.0,"auto-labeled: combined=0.7563, LOW"
60,"Another viral Indian video clip showed a pod of humpback whales allegedly returning to the Arabian Sea offshore from Mumbai following the shutdown of shipping routes; however, this video was found to","Another viral Indian video clip showed a pod of humpback whales allegedly returning to the Arabian Sea offshore from Mumbai following the shutdown of shipping routes; however, this video was found to have actually been taken in 2019 in the Java Sea.",Miscellaneous,same,3.0,"auto-labeled: combined=0.9752, HIGH"
16,"That was disproved, as ""there is no evidence that acetic acid is effective against the virus"" and, even if there was, ""its concentration in common household vinegar is low"".",Acetic acid is effective against coronavirus.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.5767, HIGH"
59,Experts later identified the civet in the video as actually being the much more common small Indian civet.,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",Miscellaneous,different,3.0,"auto-labeled: combined=0.3607, HIGH"
37,Meanwhile 67% polled believed that jamaat (congregation prayer) cannot become a source of infection and 48% people believed that shaking hands cannot infect anyone since it is Sunnah.,Jamaat cannot become a source of infection.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.4838, HIGH"
55,"There is no direct link between the virus and the beer brand, but rather, both names draw upon the Latin corona, meaning 'crown'.",Drinking Corona-brand beer causes COVID-19.,Miscellaneous,different,3.0,"auto-labeled: combined=0.456, HIGH"
40,"A claim that  cannabis  could protect against the coronavirus appeared on Youtube, along with a petition to legalize cannabis in Sri Lanka.",Cannabis protects against COVID-19.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.4248, HIGH"
62,"Facebook and YouTube removed items pushing this story, and fact checking organisations established that the picture is of Margate Lighthouse and the ""virus"" is the staircase at the Tate Britain.",Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,Miscellaneous,different,3.0,"auto-labeled: combined=0.3161, HIGH"
29,The notion that the vibrations generated by clapping together during Janata curfew will kill the virus was debunked by the media.,Clapping will kill coronavirus.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.5585, HIGH"
32,Another message claimed that observing Janata curfew will result in the reduction of COVID-19 cases by 40%.,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,Medical Misinformation,same,2.0,"auto-labeled: combined=0.8403, MEDIUM"
22,"Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, accord",Cocaine cures coronavirus,Medical Misinformation,different,3.0,"auto-labeled: combined=0.3554, HIGH"
45,"The New York Attorney General's office also issued a cease-and-desist order to radio host Alex Jones, who was selling silver-infused toothpaste that he falsely claimed can kill the virus and had been",Alex Jones' silver-infused toothpaste kills COVID-19,Medical Misinformation,different,3.0,"auto-labeled: combined=0.4917, HIGH"
44,"In February 2020, televangelist Jim Bakker promoted a colloidal silver solution sold on his website, as a remedy for coronavirus COVID-19; naturopath Sherrill Sellman, a guest on his show, falsely st","In February 2020, televangelist Jim Bakker promoted a colloidal silver solution sold on his website, as a remedy for coronavirus COVID-19; naturopath Sherrill Sellman, a guest on his show, falsely stated that it ""hasn't been tested on this strain of the coronavirus, but it's been tested on other strains of the coronavirus and has been able to eliminate it within 12 hours.""",Medical Misinformation,different,1.0,"auto-labeled: combined=0.6896, LOW"
23,"No evidence supports that SARS-CoV 2 can survive for prolonged periods of time (like what might happen during shipping) on surfaces, and Costco has not issued such a recall.",SARS-CoV-2 can survive for weeks on surfaces.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.5422, HIGH"
25,"The Holy Synod stated that the Holy Communion ""cannot be the cause of the spread of illness"", with Metropolitan Seraphim saying that the wine was without blemish because it represented the blood and",Holy communion cannot be the cause of the spread of coronavirus,Medical Misinformation,different,3.0,"auto-labeled: combined=0.4669, HIGH"
43,"The Food and Drug Administration has warned multiple times that drinking MMS is ""dangerous"" as it may cause ""severe vomiting"" and ""acute liver failure"".",Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.3953, HIGH"
22,"Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, accord","Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, according to a false e-mail attributed to a hospital director) and cocaine.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9806, HIGH"
45,"The New York Attorney General's office also issued a cease-and-desist order to radio host Alex Jones, who was selling silver-infused toothpaste that he falsely claimed can kill the virus and had been","The New York Attorney General's office also issued a cease-and-desist order to radio host Alex Jones, who was selling silver-infused toothpaste that he falsely claimed can kill the virus and had been verified by federal officials, causing a Jones spokesman to deny the products had been sold for the purpose of treating any disease.",Medical Misinformation,same,2.0,"auto-labeled: combined=0.8328, MEDIUM"
28,"Parliamentarian Ramesh Bidhuri of the Bharatiya Janata Party claimed that experts say using Namaste as a greeting prevents transmission of COVID-19, but using Arabic greetings like Adab and As-salamu","Parliamentarian Ramesh Bidhuri of the Bharatiya Janata Party claimed that experts say using Namaste as a greeting prevents transmission of COVID-19, but using Arabic greetings like Adab and As-salamu alaykum does not prevent it as they direct air into the mouth.",Medical Misinformation,same,1.0,"auto-labeled: combined=0.7876, LOW"
46,The viewers had to touch the television screen to receive the spiritual healing.,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.3112, HIGH"
13,"Iranian social media had circulated a story on British tabloids that a British man and others had been cured of coronavirus with whiskey and honey, which combined with the use of alcohol-based hand s","Iranian social media had circulated a story on British tabloids that a British man and others had been cured of coronavirus with whiskey and honey, which combined with the use of alcohol-based hand sanitizers as disinfectants, led to the false belief that drinking high-proof alcohol can kill the virus.",Medical Misinformation,same,2.0,"auto-labeled: combined=0.8323, MEDIUM"
25,"The Holy Synod stated that the Holy Communion ""cannot be the cause of the spread of illness"", with Metropolitan Seraphim saying that the wine was without blemish because it represented the blood and","The Holy Synod stated that the Holy Communion ""cannot be the cause of the spread of illness"", with Metropolitan Seraphim saying that the wine was without blemish because it represented the blood and body of Christ, and that ""whoever attends Holy Communion is approaching God, who has the power to heal"".",Medical Misinformation,same,1.0,"auto-labeled: combined=0.8152, LOW"
18,"Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, accord",Essential oils cure coronavirus.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.3415, HIGH"
26,"It was also reported that a right-wing populist party leader of the party Greek Solution, Kyriakos Velopoulos, sells a hand cream via his TV shop, which supposedly would completely kill COVID-19, alt",Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,Medical Misinformation,same,1.0,"auto-labeled: combined=0.7887, LOW"
34,"An ""anti-coronavirus"" mattress was advertised as being anti-fungal, anti-allergic, dustproof and waterproof and that it could fight the coronavirus.","There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",Medical Misinformation,same,1.0,"auto-labeled: combined=0.7822, LOW"
38,Meanwhile 67% polled believed that jamaat (congregation prayer) cannot become a source of infection and 48% people believed that shaking hands cannot infect anyone since it is Sunnah.,Shaking hands cannot spread coronavirus.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.3903, HIGH"
10,"In March 2020, Thomas Cowan, a holistic medical practitioner who trained as a physician and operates on probation with Medical Board of California, alleged that coronavirus is caused by 5G, based on",Coronavirus is caused by 5G.,Medical Misinformation,different,3.0,"auto-labeled: combined=0.5924, HIGH"
47,The US Federal Bureau of Investigation arrested actor Keith Lawrence Middlebrook for selling a fake COVID-19 cure.,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,Medical Misinformation,different,2.0,"auto-labeled: combined=0.6683, MEDIUM"
30,"Amitabh Bachchan was heavily criticised for one of his tweets, which claimed vibrations from clapping, blowing conch shells as part of Sunday's Janata Curfew would have reduced or destroyed coronaviru","Amitabh Bachchan was heavily criticised for one of his tweets, which claimed vibrations from clapping, blowing conch shells as part of Sunday's Janata Curfew would have reduced or destroyed coronavirus potency as it was ‘Amavasya’, the darkest day of the month.",Medical Misinformation,same,1.0,"auto-labeled: combined=0.755, LOW"
8,"Widely circulated posts on social media have falsely claimed that, among other things:   All of the above claims have been disproven; for example, ginger has not been proven to cure any viral illness","Widely circulated posts on social media have falsely claimed that, among other things:   All of the above claims have been disproven; for example, ginger has not been proven to cure any viral illness, and vitamin C has also not been proven to be effective against the coronavirus.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9135, HIGH"
15,"In March 2020, the Miami New Times reported that managers at Norwegian Cruise Line had prepared a set of responses intended to convince wary customers to book cruises, including ""blatantly false"" cla","In March 2020, the Miami New Times reported that managers at Norwegian Cruise Line had prepared a set of responses intended to convince wary customers to book cruises, including ""blatantly false"" claims that the coronavirus ""can only survive in cold temperatures, so the Caribbean is a fantastic choice for your next cruise"", that ""[s]cientists and medical professionals have confirmed that the warm weather of the spring will be the end of the [c]oronavirus"", and that the virus ""cannot live in the",Medical Misinformation,different,3.0,"auto-labeled: combined=0.566, HIGH"
26,"It was also reported that a right-wing populist party leader of the party Greek Solution, Kyriakos Velopoulos, sells a hand cream via his TV shop, which supposedly would completely kill COVID-19, alt","It was also reported that a right-wing populist party leader of the party Greek Solution, Kyriakos Velopoulos, sells a hand cream via his TV shop, which supposedly would completely kill COVID-19, although the alleged miracle drug is not approved by medical authorities.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9556, HIGH"
18,"Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, accord","Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, according to a false e-mail attributed to a hospital director) and cocaine.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9806, HIGH"
19,"Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, accord","Other so called cures in messages spreading in Brazil were avocado and mint tea, hot whiskey and honey, essential oils, vitamins C and D, fennel tea (supposedly similar to the medicine Tamiflu, according to a false e-mail attributed to a hospital director) and cocaine.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9806, HIGH"
9,"While a student was successfully treated, other media sources have noted that no evidence implies Africans are more resistant to the virus and labeled such claims as false information.",Africans are more resistant to coronavirus.,Medical Misinformation,different,2.0,"auto-labeled: combined=0.6666, MEDIUM"
10,"In March 2020, Thomas Cowan, a holistic medical practitioner who trained as a physician and operates on probation with Medical Board of California, alleged that coronavirus is caused by 5G, based on","In March 2020, Thomas Cowan, a holistic medical practitioner who trained as a physician and operates on probation with Medical Board of California, alleged that coronavirus is caused by 5G, based on the claims that African countries were not affected significantly by the pandemic and Africa was not a 5G region.",Medical Misinformation,same,3.0,"auto-labeled: combined=0.9581, HIGH"
